location,account,date,day_night_label,sentiment_num
<Location with-held due to contract>,AttentativeDBanana15,2020-04-08,day,0.0
<Location with-held due to contract>,AttentativeJLight,2020-04-10,day,1.0
<Location with-held due to contract>,BobbyBob,2020-04-08,day,0.0
<Location with-held due to contract>,BusyBradleyPlate,2020-04-09,day,1.0
<Location with-held due to contract>,BusyTurnerPlate,2020-04-08,day,1.0
<Location with-held due to contract>,CandidFCouch,2020-04-08,day,1.0
<Location with-held due to contract>,CandidUzielCouch1967,2020-04-08,day,-1.0
<Location with-held due to contract>,City EOC,2020-04-08,day,0.0
<Location with-held due to contract>,CuriousEBread,2020-04-09,night,1.0
<Location with-held due to contract>,CuriousKatherynBanana,2020-04-08,day,1.0
<Location with-held due to contract>,CuriousPlateJohn_Paine,2020-04-08,day,-1.0
<Location with-held due to contract>,CuriousWBanana73,2020-04-08,day,0.0
<Location with-held due to contract>,Cynthia15H,2020-04-09,night,0.0
<Location with-held due to contract>,DanielFish19,2020-04-08,day,0.0
<Location with-held due to contract>,DarkCandyChristopher_Iverson,2020-04-08,day,1.0
<Location with-held due to contract>,DarkCandyWm_Wood,2020-04-07,day,1.0
<Location with-held due to contract>,DarkWLight,2020-04-09,night,1.0
<Location with-held due to contract>,DionHorse2011,2020-04-08,day,0.0
<Location with-held due to contract>,FamousPlateLee,2020-04-10,night,-1.0
<Location with-held due to contract>,FastArmstrongBowl65,2020-04-10,night,-1.0
<Location with-held due to contract>,FastBreadSteven_Chappell,2020-04-08,day,1.0
<Location with-held due to contract>,FastCandyJerry,2020-04-09,day,1.0
<Location with-held due to contract>,FastLLight98,2020-04-08,day,-1.0
<Location with-held due to contract>,FastLightWilliam,2020-04-08,day,-1.0
<Location with-held due to contract>,FastPBread72,2020-04-08,day,1.0
<Location with-held due to contract>,FearsJohnBird,2020-04-08,day,0.0
<Location with-held due to contract>,FearsKenneth_BarnettOctopus,2020-04-08,day,-1.0
<Location with-held due to contract>,FigueroaOctopus1959,2020-04-08,day,1.0
<Location with-held due to contract>,FleetTIcecream,2020-04-08,day,0.0
<Location with-held due to contract>,Frank1988,2020-04-09,day,1.0
<Location with-held due to contract>,FuriousCouchRobin_Painter,2020-04-08,night,-1.0
<Location with-held due to contract>,FuriousJLight,2020-04-08,day,0.0
<Location with-held due to contract>,FuriousPlateJean_Lanier,2020-04-09,day,1.0
<Location with-held due to contract>,Gilbert,2020-04-09,day,0.0
<Location with-held due to contract>,GlennCat1965,2020-04-08,night,0.0
<Location with-held due to contract>,Gordon1985,2020-04-08,day,1.0
<Location with-held due to contract>,GuapoBananaAllen,2020-04-08,day,-1.0
<Location with-held due to contract>,GuapoKCar,2020-04-08,day,1.0
<Location with-held due to contract>,GuapoKathrynHouse,2020-04-09,day,-1.0
<Location with-held due to contract>,Hanscom,2020-04-09,day,1.0
<Location with-held due to contract>,HavoHavo,2020-04-08,day,1.0
<Location with-held due to contract>,HimarkBand,2020-04-07,day,1.0
<Location with-held due to contract>,Irene_Powell90,2020-04-08,night,1.0
<Location with-held due to contract>,Jean_Goss86,2020-04-08,day,1.0
<Location with-held due to contract>,Jennifer16M,2020-04-08,night,-1.0
<Location with-held due to contract>,KellerFish1960,2020-04-10,day,-1.0
<Location with-held due to contract>,Larry_LeetBear12,2020-04-09,day,0.0
<Location with-held due to contract>,LazyCouchElvin_Ottesen,2020-04-09,night,-1.0
<Location with-held due to contract>,LazyHLight40,2020-04-10,night,-1.0
<Location with-held due to contract>,LazyWBanana,2020-04-10,night,0.0
<Location with-held due to contract>,LazyWBread,2020-04-08,day,-1.0
<Location with-held due to contract>,Lisamona,2020-04-09,day,0.0
<Location with-held due to contract>,LovesElizabeth_MoralesLion,2020-04-08,day,1.0
<Location with-held due to contract>,M34Rahmani,2020-04-09,night,-1.0
<Location with-held due to contract>,Mabble,2020-04-09,day,0.0
<Location with-held due to contract>,Norst,2020-04-09,day,0.0
<Location with-held due to contract>,ObnoxiousBLight1983,2020-04-08,day,-1.0
<Location with-held due to contract>,ObnoxiousGarciaBanana50,2020-04-10,day,-1.0
<Location with-held due to contract>,Oleta1995B,2020-04-10,day,1.0
<Location with-held due to contract>,Oskr,2020-04-08,day,1.0
<Location with-held due to contract>,Pinne,2020-04-08,day,1.0
<Location with-held due to contract>,Quarke,2020-04-08,day,0.0
<Location with-held due to contract>,RayDog1978,2020-04-08,day,1.0
<Location with-held due to contract>,Regina51F,2020-04-08,day,-1.0
<Location with-held due to contract>,Risky3Roy,2020-04-10,day,0.0
<Location with-held due to contract>,RobertsonCat14,2020-04-08,day,0.0
<Location with-held due to contract>,RunsLamonicaWhale,2020-04-10,day,0.0
<Location with-held due to contract>,RunsThompsonMouse,2020-04-08,day,0.0
<Location with-held due to contract>,SAttentativeT,2020-04-08,day,1.0
<Location with-held due to contract>,SertsBlanket,2020-04-10,day,1.0
<Location with-held due to contract>,SimplySam,2020-04-08,day,0.0
<Location with-held due to contract>,Simpson2002,2020-04-08,day,-1.0
<Location with-held due to contract>,SmartBBread,2020-04-07,day,1.0
<Location with-held due to contract>,SmartCarRoy,2020-04-08,day,-1.0
<Location with-held due to contract>,SmartFBowl12,2020-04-08,day,-1.0
<Location with-held due to contract>,SmartJCouch,2020-04-08,day,0.0
