"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/6 00:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 01:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/6 03:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 04:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/6 05:00","0","0","0","0","0","0","0","0","0","0","0","1","3"
"4/6 06:00","0","0","0","0","0","0","0","0","0","0","0","0","11"
"4/6 07:00","0","0","0","0","0","0","0","0","0","0","0","0","13"
"4/6 08:00","0","0","0","0","0","0","0","0","0","0","3","1","29"
"4/6 09:00","0","0","0","0","2","0","0","0","0","0","0","0","28"
"4/6 10:00","0","1","0","0","0","1","1","0","0","0","1","2","21"
"4/6 11:00","0","0","0","0","0","0","0","0","0","0","1","1","26"
"4/6 12:00","0","0","0","0","0","0","0","0","0","0","1","0","26"
"4/6 13:00","0","0","0","1","0","0","0","0","0","0","0","1","27"
"4/6 14:00","1","0","0","0","1","0","0","0","0","0","0","1","37"
"4/6 15:00","1","0","0","0","0","1","0","0","0","0","0","0","54"
"4/6 16:00","0","0","0","0","0","0","2","0","0","0","1","0","37"
"4/6 17:00","0","0","0","0","0","0","0","0","0","0","0","0","19"
"4/6 18:00","0","0","0","0","0","0","0","0","0","0","3","0","19"
"4/6 19:00","2","0","0","0","0","0","0","0","0","0","1","1","27"
"4/6 20:00","0","0","0","0","1","0","0","0","0","0","0","0","15"
"4/6 21:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/6 22:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/6 23:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/7 00:00","0","0","0","0","0","0","0","0","0","0","0","1","0"
"4/7 02:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 03:00","0","0","0","0","0","0","0","0","0","0","1","0","4"
"4/7 04:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/7 06:00","0","0","0","0","0","0","0","0","0","0","1","0","6"
"4/7 07:00","0","0","0","0","0","0","0","0","0","0","1","0","17"
"4/7 08:00","0","0","0","0","0","0","0","0","0","0","1","0","24"
"4/7 09:00","0","0","0","0","0","0","0","0","0","0","0","0","25"
"4/7 10:00","0","0","0","0","0","0","0","0","0","0","1","0","25"
"4/7 11:00","0","0","0","0","0","0","0","0","0","0","0","1","39"
"4/7 12:00","0","0","0","0","0","0","0","0","0","0","1","1","36"
"4/7 13:00","0","0","0","0","0","0","0","0","0","0","4","0","27"
"4/7 14:00","0","0","0","1","0","0","0","0","0","0","0","1","21"
"4/7 15:00","0","0","0","0","1","0","0","1","0","0","0","0","24"
"4/7 16:00","0","0","0","0","0","0","0","0","0","0","0","0","34"
"4/7 17:00","0","0","0","0","0","1","0","0","0","0","0","0","29"
"4/7 18:00","1","0","0","0","0","0","0","0","0","0","0","0","28"
"4/7 19:00","0","0","0","0","0","0","0","0","0","0","0","0","24"
"4/7 20:00","0","0","0","0","0","0","1","0","0","0","0","0","29"
"4/7 21:00","0","0","0","0","0","0","1","0","0","0","0","0","13"
"4/7 22:00","0","0","0","0","0","0","0","0","0","0","1","0","8"
"4/7 23:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/8 00:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/8 02:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/8 03:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/8 04:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/8 05:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/8 06:00","0","0","0","0","0","0","0","0","0","0","0","0","7"
"4/8 07:00","0","0","0","0","0","0","0","0","3","0","0","0","50"
"4/8 08:00","0","1","0","1","0","0","0","0","0","0","0","0","22"
"4/8 09:00","1","0","0","0","1","0","0","0","0","0","0","0","27"
"4/8 10:00","0","0","0","0","1","0","0","1","0","0","0","0","1"
"4/8 11:00","0","0","0","0","0","1","0","0","0","0","0","0","6"
"4/8 12:00","0","0","0","0","0","1","0","0","0","0","0","0","10"
"4/8 13:00","0","0","0","0","0","4","0","0","0","0","1","2","14"
"4/8 14:00","2","0","1","0","1","2","1","0","3","0","1","0","42"
"4/8 15:00","0","1","0","0","2","3","1","0","0","0","0","0","44"
"4/8 16:00","0","0","0","0","1","1","0","0","0","0","0","0","34"
"4/8 17:00","0","0","0","0","0","2","0","0","2","0","0","0","22"
"4/8 18:00","1","0","0","0","3","1","0","0","0","0","0","0","26"
"4/8 19:00","0","0","1","0","0","0","0","0","2","0","1","1","24"
"4/8 20:00","0","0","0","0","1","0","0","0","1","0","1","1","16"
"4/8 21:00","0","0","0","0","0","0","0","0","4","0","0","0","11"
"4/8 22:00","0","0","0","0","0","0","0","0","1","0","0","0","10"
"4/8 23:00","0","0","1","0","0","0","1","0","1","0","0","0","9"
"4/9 00:00","0","0","0","0","0","0","0","0","1","0","0","0","11"
"4/9 01:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/9 02:00","0","1","0","0","0","1","1","0","0","0","0","0","5"
"4/9 03:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/9 04:00","0","0","0","0","1","2","0","0","0","0","0","0","7"
"4/9 05:00","0","0","0","0","0","0","0","0","0","0","0","0","16"
"4/9 06:00","0","0","0","0","0","0","0","0","1","0","1","1","13"
"4/9 07:00","0","0","0","0","0","0","0","0","0","0","0","0","16"
"4/9 08:00","1","0","0","0","0","2","1","0","0","0","0","0","18"
"4/9 09:00","0","0","1","0","0","1","0","0","0","0","0","0","14"
"4/9 10:00","0","0","1","0","0","1","1","0","4","0","1","0","25"
"4/9 11:00","0","0","0","0","0","1","1","0","2","0","3","0","27"
"4/9 12:00","0","0","1","0","0","3","0","0","1","0","4","0","51"
"4/9 13:00","0","0","0","0","0","2","0","0","1","0","2","0","37"
"4/9 14:00","0","0","0","0","0","0","1","0","0","0","0","0","30"
"4/9 15:00","0","1","0","0","0","1","0","0","5","2","1","0","45"
"4/9 16:00","0","0","0","0","0","0","0","0","2","0","0","1","26"
"4/9 17:00","0","1","0","0","0","1","0","0","0","0","0","1","11"
"4/9 18:00","0","0","0","0","0","0","0","0","1","0","1","1","8"
"4/9 19:00","0","0","0","0","0","1","0","0","0","0","0","1","12"
"4/9 20:00","1","0","0","0","0","0","0","0","0","0","0","0","12"
"4/9 21:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/9 22:00","0","0","0","0","0","0","0","0","2","0","0","0","3"
"4/9 23:00","0","0","0","0","0","0","1","0","0","0","0","0","4"
"4/10 00:00","0","0","0","0","1","0","0","0","0","0","0","0","24"
"4/10 01:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/10 02:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/10 03:00","0","0","0","0","0","0","0","0","1","0","0","0","10"
"4/10 04:00","0","0","1","0","0","0","0","0","0","0","0","0","19"
"4/10 05:00","0","1","0","0","0","2","3","0","0","0","0","0","18"
"4/10 06:00","0","0","0","0","0","0","0","0","0","0","0","0","7"
"4/10 07:00","0","1","0","0","0","0","0","0","0","0","1","0","57"
"4/10 08:00","0","1","0","0","0","0","0","0","0","0","2","0","18"
"4/10 09:00","0","0","0","1","0","2","3","0","1","0","6","0","47"
