"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/6 00:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 03:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 04:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/6 05:00","0","0","0","0","0","0","0","0","0","0","1","0","4"
"4/6 06:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/6 07:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/6 08:00","0","0","0","0","0","0","0","0","0","0","0","0","16"
"4/6 09:00","0","0","0","0","0","0","0","0","0","0","1","0","17"
"4/6 10:00","0","0","0","0","0","0","0","0","0","0","3","0","26"
"4/6 11:00","0","0","0","0","0","0","0","0","0","0","1","0","14"
"4/6 12:00","0","0","0","0","0","0","0","0","0","0","0","0","22"
"4/6 13:00","0","0","0","0","0","0","0","0","0","0","0","0","17"
"4/6 14:00","1","0","0","0","1","0","0","0","0","0","1","0","27"
"4/6 15:00","2","0","0","0","0","0","0","0","0","0","2","0","50"
"4/6 16:00","0","0","0","0","0","0","0","0","0","0","1","1","27"
"4/6 17:00","0","0","0","0","0","0","1","0","0","0","0","1","22"
"4/6 18:00","0","0","0","0","0","0","0","0","0","0","2","0","11"
"4/6 19:00","1","0","0","0","0","0","0","0","2","0","0","0","27"
"4/6 20:00","0","0","0","0","3","0","0","0","0","0","0","0","10"
"4/6 21:00","0","0","0","0","0","0","0","0","0","0","1","0","10"
"4/6 22:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/6 23:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/7 00:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 01:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 02:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 03:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 04:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/7 05:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 06:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/7 07:00","0","0","0","0","0","0","0","0","0","0","1","0","17"
"4/7 08:00","0","0","0","0","0","0","0","0","0","0","0","0","36"
"4/7 09:00","0","0","0","0","0","0","0","0","0","0","0","1","9"
"4/7 10:00","0","0","0","0","0","0","0","0","0","0","0","0","24"
"4/7 11:00","0","0","0","0","0","0","0","0","0","0","2","0","25"
"4/7 12:00","0","0","0","0","0","0","0","0","0","0","0","0","27"
"4/7 13:00","0","0","0","0","0","1","0","0","0","0","3","0","15"
