"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/6 00:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 03:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/6 05:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 06:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/6 07:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/6 08:00","0","0","0","0","0","0","0","0","0","0","0","0","6"
"4/6 09:00","0","0","0","0","0","0","1","0","0","0","0","0","11"
"4/6 10:00","0","0","0","0","0","2","2","0","0","0","1","0","11"
"4/6 11:00","0","0","0","0","0","1","0","0","0","0","0","0","9"
"4/6 12:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/6 13:00","0","0","0","0","0","0","0","0","0","0","0","0","10"
"4/6 14:00","2","0","0","0","0","0","0","0","0","0","0","0","23"
"4/6 15:00","2","0","0","0","0","0","0","0","0","0","2","0","26"
"4/6 16:00","0","0","0","0","0","0","0","0","0","0","0","0","11"
"4/6 17:00","0","0","0","0","0","0","1","0","0","0","0","1","7"
"4/6 18:00","0","0","0","0","0","0","0","0","0","0","1","0","2"
"4/6 19:00","1","0","0","0","0","0","0","0","0","0","0","0","15"
"4/6 20:00","0","0","0","0","0","0","0","0","0","0","0","0","10"
"4/6 21:00","0","0","0","0","0","0","0","0","0","0","0","1","1"
"4/6 23:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/7 02:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 03:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 04:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 05:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/7 06:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/7 07:00","0","0","0","0","0","0","0","0","0","0","0","0","7"
"4/7 08:00","0","0","0","0","0","0","0","0","0","0","0","0","13"
"4/7 09:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/7 10:00","0","0","0","0","0","0","0","0","0","0","0","0","10"
"4/7 11:00","0","0","0","0","0","0","0","0","0","0","1","0","11"
"4/7 12:00","0","0","0","0","0","0","0","0","0","0","0","0","11"
"4/7 13:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/7 14:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/7 15:00","0","0","0","0","0","0","0","0","0","0","0","0","15"
"4/7 16:00","0","0","0","0","0","0","0","0","0","0","1","0","11"
"4/7 17:00","0","0","0","0","0","0","0","0","0","0","0","0","5"
"4/7 18:00","0","0","0","0","0","0","0","0","0","0","0","0","16"
"4/7 19:00","0","0","0","0","0","0","0","0","0","0","0","0","7"
"4/7 20:00","0","0","0","0","0","0","2","0","0","0","0","0","4"
"4/7 21:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/7 22:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/7 23:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/8 00:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 01:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 02:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/8 03:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/8 04:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/8 05:00","0","1","0","0","0","0","0","0","0","0","0","0","3"
"4/8 06:00","0","0","0","0","0","0","0","0","0","0","0","0","5"
"4/8 07:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/8 08:00","0","1","0","0","0","0","0","0","0","0","0","0","12"
"4/8 09:00","1","0","0","0","1","0","0","0","0","0","0","1","12"
"4/8 11:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/8 12:00","0","0","0","0","0","0","1","0","0","0","1","0","4"
"4/8 13:00","2","0","0","0","1","6","0","0","0","0","1","1","11"
"4/8 14:00","0","0","0","0","0","6","1","0","3","0","1","0","35"
"4/8 15:00","0","0","0","0","0","3","0","0","2","0","1","0","26"
"4/8 16:00","0","0","0","0","0","0","1","0","0","0","0","0","9"
"4/8 17:00","2","0","0","0","0","4","0","0","3","0","0","0","12"
"4/8 18:00","0","0","1","0","1","0","0","0","1","0","0","0","9"
"4/8 19:00","0","0","1","0","1","1","1","0","3","0","0","0","12"
"4/8 20:00","0","0","0","0","0","0","0","0","0","0","0","0","5"
"4/8 21:00","0","0","0","0","1","0","0","0","0","0","0","0","4"
"4/8 22:00","0","0","0","0","0","0","0","0","2","0","0","0","3"
