"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/6/2020 0:","0","0","0","0","0","0","0","0","0","0","0","3","20"
"4/6/2020 1:","0","0","0","0","0","0","0","0","0","0","0","3","14"
"4/6/2020 2:","1","0","0","0","0","0","0","0","0","0","0","4","17"
"4/6/2020 3:","0","0","0","0","0","0","1","0","0","0","0","1","31"
"4/6/2020 4:","0","0","0","1","1","0","0","0","0","0","0","9","65"
"4/6/2020 5:","0","0","0","0","0","0","0","0","0","0","4","4","124"
"4/6/2020 6:","0","0","0","0","1","0","0","0","0","0","3","1","212"
"4/6/2020 7:","0","1","0","0","1","0","0","0","0","0","3","4","258"
"4/6/2020 8:","0","0","0","0","0","3","0","0","0","0","4","1","474"
"4/6/2020 9:","0","1","0","0","2","1","1","0","0","0","6","5","451"
"4/6/2020 10","0","1","0","0","0","11","10","0","0","0","34","3","578"
"4/6/2020 11","1","1","0","1","0","6","4","0","0","0","25","3","484"
"4/6/2020 12","0","0","0","0","1","2","1","0","0","0","6","2","448"
"4/6/2020 13","0","1","0","1","0","0","1","0","0","0","4","3","501"
"4/6/2020 14","40","6","0","2","4","1","0","0","0","0","9","4","803"
"4/6/2020 15","57","0","0","0","0","8","2","0","0","0","32","4","916"
"4/6/2020 16","1","1","0","1","0","10","9","0","0","0","10","9","601"
"4/6/2020 17","1","0","0","0","0","1","8","0","0","0","4","10","506"
"4/6/2020 18","0","1","0","0","0","1","2","0","0","0","32","2","300"
"4/6/2020 19","45","1","0","0","10","1","1","0","19","0","9","2","593"
"4/6/2020 20","1","0","0","0","26","2","2","0","4","0","0","2","299"
"4/6/2020 21","0","0","0","0","2","2","1","0","0","0","2","5","221"
"4/6/2020 22","0","1","0","0","0","0","1","0","0","0","0","5","108"
"4/6/2020 23","0","0","0","0","0","1","1","0","0","0","0","2","93"
"4/7/2020 0:","0","0","0","1","0","0","2","0","0","0","0","3","42"
"4/7/2020 1:","0","0","0","0","0","0","0","0","0","0","0","0","18"
"4/7/2020 2:","2","0","0","0","0","1","1","0","0","0","0","5","43"
"4/7/2020 3:","0","0","0","0","0","1","0","0","0","0","1","2","39"
"4/7/2020 4:","0","0","0","0","0","0","0","0","0","0","0","1","52"
