"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/6 00:00","0","0","0","0","0","0","0","0","0","0","0","3","20"
"4/6 01:00","0","0","0","0","0","0","0","0","0","0","0","3","14"
"4/6 02:00","1","0","0","0","0","0","0","0","0","0","0","4","17"
"4/6 03:00","0","0","0","0","0","0","1","0","0","0","0","1","31"
"4/6 04:00","0","0","0","1","1","0","0","0","0","0","0","9","65"
"4/6 05:00","0","0","0","0","0","0","0","0","0","0","4","4","124"
"4/6 06:00","0","0","0","0","1","0","0","0","0","0","3","1","212"
"4/6 07:00","0","1","0","0","1","0","0","0","0","0","3","4","258"
"4/6 08:00","0","0","0","0","0","3","0","0","0","0","4","1","474"
"4/6 09:00","0","1","0","0","2","1","1","0","0","0","6","5","451"
"4/6 10:00","0","1","0","0","0","11","10","0","0","0","34","3","578"
"4/6 11:00","1","1","0","1","0","6","4","0","0","0","25","3","484"
"4/6 12:00","0","0","0","0","1","2","1","0","0","0","6","2","448"
"4/6 13:00","0","1","0","1","0","0","1","0","0","0","4","3","501"
"4/6 14:00","40","6","0","2","4","1","0","0","0","0","9","4","803"
"4/6 15:00","57","0","0","0","0","8","2","0","0","0","32","4","916"
"4/6 16:00","1","1","0","1","0","10","9","0","0","0","10","9","601"
"4/6 17:00","1","0","0","0","0","1","8","0","0","0","4","10","506"
"4/6 18:00","0","1","0","0","0","1","2","0","0","0","32","2","300"
"4/6 19:00","45","1","0","0","10","1","1","0","19","0","9","2","593"
"4/6 20:00","1","0","0","0","26","2","2","0","4","0","0","2","299"
"4/6 21:00","0","0","0","0","2","2","1","0","0","0","2","5","221"
"4/6 22:00","0","1","0","0","0","0","1","0","0","0","0","5","108"
"4/6 23:00","0","0","0","0","0","1","1","0","0","0","0","2","93"
"4/7 00:00","0","0","0","1","0","0","2","0","0","0","0","3","42"
"4/7 01:00","0","0","0","0","0","0","0","0","0","0","0","0","18"
"4/7 02:00","2","0","0","0","0","1","1","0","0","0","0","5","43"
"4/7 03:00","0","0","0","0","0","1","0","0","0","0","1","2","39"
"4/7 04:00","0","0","0","0","0","0","0","0","0","0","0","1","52"
"4/7 05:00","0","1","0","0","0","0","1","1","0","0","2","0","87"
"4/7 06:00","0","0","0","1","0","1","0","0","0","0","6","2","208"
