"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/6 02:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/6 03:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/6 04:00","0","0","0","0","0","0","0","0","0","0","0","0","5"
"4/6 05:00","0","0","0","0","0","0","0","0","0","0","0","0","6"
"4/6 06:00","0","0","0","0","0","0","0","0","0","0","1","0","9"
"4/6 07:00","0","0","0","0","0","0","0","0","0","0","0","0","17"
"4/6 08:00","0","0","0","0","0","0","0","0","0","0","0","0","38"
"4/6 09:00","0","0","0","0","0","0","0","0","0","0","0","0","22"
"4/6 10:00","0","0","0","0","0","1","1","0","0","0","3","0","28"
"4/6 11:00","0","0","0","1","0","1","1","0","0","0","1","1","24"
"4/6 12:00","0","0","0","0","0","0","0","0","0","0","1","0","29"
"4/6 13:00","0","0","0","0","0","0","0","0","0","0","0","1","30"
"4/6 14:00","1","0","0","0","0","0","0","0","0","0","0","0","55"
"4/6 15:00","2","0","0","0","0","0","0","0","0","0","2","1","64"
"4/6 16:00","0","0","0","0","0","0","0","0","0","0","1","0","25"
"4/6 17:00","0","0","0","0","0","0","0","0","0","0","0","0","34"
"4/6 18:00","0","0","0","0","0","0","0","0","0","0","2","0","17"
"4/6 19:00","8","1","0","0","1","0","0","0","0","0","0","1","37"
"4/6 20:00","0","0","0","0","2","0","0","0","1","0","0","0","21"
"4/6 21:00","0","0","0","0","0","0","0","0","0","0","0","0","13"
"4/6 22:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/6 23:00","0","0","0","0","0","0","0","0","0","0","0","0","7"
"4/7 00:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 01:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 02:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 03:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/7 04:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/7 05:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/7 06:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/7 07:00","0","0","0","0","0","0","0","0","0","0","2","0","32"
"4/7 08:00","3","0","0","0","0","1","0","0","0","0","0","0","26"
"4/7 09:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/7 10:00","0","0","0","0","0","0","0","0","0","0","0","2","23"
"4/7 11:00","0","0","0","0","0","0","1","0","0","0","0","0","33"
"4/7 12:00","0","0","0","0","0","1","0","0","0","0","0","0","31"
"4/7 13:00","0","0","0","0","0","0","0","0","0","0","0","0","28"
"4/7 14:00","0","0","0","0","0","0","0","0","0","0","2","0","26"
"4/7 15:00","0","0","0","0","0","0","0","0","0","0","0","1","23"
"4/7 16:00","0","0","0","0","0","0","0","0","0","0","0","0","29"
"4/7 17:00","0","0","0","0","0","0","0","0","0","0","0","0","20"
"4/7 18:00","2","0","0","0","0","0","0","0","1","0","1","0","52"
"4/7 19:00","1","0","0","0","0","0","0","0","0","0","0","0","29"
"4/7 20:00","0","0","0","0","0","0","0","0","0","0","0","0","16"
"4/7 21:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/7 22:00","0","0","0","0","0","0","0","0","0","0","0","1","6"
"4/7 23:00","0","0","0","0","0","0","0","0","0","0","0","1","6"
"4/8 00:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/8 01:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 02:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 03:00","0","0","0","0","0","0","0","0","0","0","0","0","5"
"4/8 04:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/8 05:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/8 06:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/8 07:00","0","0","0","0","0","0","0","0","3","0","0","1","61"
"4/8 08:00","0","1","0","0","1","0","0","0","0","0","0","0","57"
"4/8 09:00","4","0","0","2","3","0","0","0","0","0","0","0","74"
"4/8 10:00","0","0","0","0","2","4","0","0","0","1","0","0","13"
"4/8 11:00","3","0","0","0","1","1","0","0","0","0","0","4","16"
"4/8 12:00","0","0","0","0","0","0","0","0","0","0","0","1","14"
"4/8 13:00","1","0","0","0","1","27","0","0","0","0","2","2","79"
"4/8 14:00","2","0","1","0","2","8","0","0","5","0","4","1","138"
"4/8 15:00","0","3","0","0","0","4","0","1","2","0","6","0","77"
"4/8 16:00","0","0","0","0","1","1","0","0","4","0","0","1","40"
"4/8 17:00","1","0","0","0","0","4","2","0","4","0","0","1","31"
"4/8 18:00","1","0","0","0","4","2","0","0","2","0","0","0","46"
"4/8 19:00","1","0","4","0","3","3","0","0","5","0","7","0","56"
"4/8 20:00","1","0","0","0","3","0","0","0","0","0","0","0","35"
"4/8 21:00","0","0","0","0","5","0","0","0","0","0","0","1","18"
"4/8 22:00","0","0","0","0","1","0","0","1","2","0","0","1","15"
"4/8 23:00","1","0","4","0","0","0","0","0","3","0","0","0","40"
"4/9 00:00","1","0","0","1","1","0","0","0","0","0","1","0","42"
"4/9 01:00","0","0","0","0","0","0","1","0","0","0","0","0","0"
"4/9 02:00","0","0","0","0","1","1","0","0","0","0","2","0","7"
"4/9 03:00","0","0","0","0","0","2","0","0","0","0","0","0","11"
"4/9 04:00","0","0","0","0","0","1","0","0","0","0","0","0","5"
"4/9 05:00","0","0","0","0","2","1","1","0","0","0","0","0","15"
"4/9 06:00","1","1","0","0","0","0","0","0","1","0","1","0","18"
"4/9 07:00","0","0","0","0","0","0","0","0","1","0","1","0","12"
"4/9 08:00","4","0","0","0","0","4","0","0","0","0","2","0","35"
"4/9 09:00","0","0","2","0","0","0","0","0","0","0","1","0","15"
"4/9 10:00","0","0","1","0","0","2","0","0","3","0","3","0","40"
"4/9 11:00","0","0","0","0","0","4","7","0","0","0","5","1","34"
"4/9 12:00","0","0","0","0","0","5","3","0","3","0","3","0","62"
"4/9 13:00","0","0","0","0","0","5","0","0","0","0","1","1","35"
"4/9 14:00","0","0","1","0","0","2","0","0","2","2","0","0","20"
"4/9 15:00","2","1","0","0","1","2","0","0","8","4","2","0","34"
"4/9 16:00","0","2","0","0","0","1","1","0","2","1","0","2","17"
"4/9 17:00","0","0","0","0","0","0","0","0","1","0","0","1","4"
"4/9 18:00","0","0","0","0","0","0","0","0","1","0","0","0","7"
"4/9 19:00","1","0","0","0","0","1","0","0","0","0","0","2","7"
"4/9 20:00","0","0","0","0","0","0","0","0","0","0","0","0","10"
"4/9 21:00","0","0","0","0","0","0","0","0","0","0","0","1","3"
"4/9 22:00","0","0","0","0","0","0","0","0","0","0","0","1","3"
"4/9 23:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/10 00:00","0","0","0","0","0","0","0","0","0","0","1","0","17"
"4/10 01:00","0","0","0","0","0","0","1","0","0","0","0","0","0"
"4/10 02:00","0","0","0","0","1","0","0","0","0","0","0","0","1"
"4/10 03:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/10 04:00","0","0","0","0","0","3","0","0","0","0","0","0","4"
"4/10 05:00","0","1","0","0","0","0","0","0","0","0","0","0","13"
