"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/6 00:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 01:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/6 03:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 04:00","0","0","0","0","0","0","0","0","0","0","0","2","3"
"4/6 05:00","0","0","0","0","0","0","0","0","0","0","1","0","10"
"4/6 06:00","0","0","0","0","0","0","0","0","0","0","0","1","29"
"4/6 07:00","0","0","0","0","0","0","0","0","0","0","0","0","34"
"4/6 08:00","0","0","0","0","0","0","0","0","0","0","0","0","43"
"4/6 09:00","0","0","0","0","0","0","0","0","0","0","1","0","34"
"4/6 10:00","0","0","0","0","0","1","0","0","0","0","1","0","64"
"4/6 11:00","0","1","0","0","0","0","0","0","0","0","3","0","55"
"4/6 12:00","0","0","0","0","0","0","1","0","0","0","0","0","53"
"4/6 13:00","0","0","0","0","0","0","0","0","0","0","0","0","58"
"4/6 14:00","1","0","0","0","0","0","0","0","0","0","2","0","60"
"4/6 15:00","1","0","0","0","0","2","0","0","0","0","5","0","79"
"4/6 16:00","0","0","0","1","0","1","1","0","0","0","1","3","56"
"4/6 17:00","0","0","0","0","0","0","2","0","0","0","0","0","63"
"4/6 18:00","0","0","0","0","0","0","1","0","0","0","2","0","21"
"4/6 19:00","6","0","0","0","1","0","0","0","1","0","2","0","50"
"4/6 20:00","0","0","0","0","1","0","1","0","0","0","0","0","23"
"4/6 21:00","0","0","0","0","0","2","0","0","0","0","0","2","24"
"4/6 22:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/6 23:00","0","0","0","0","0","1","0","0","0","0","0","0","5"
"4/7 00:00","0","0","0","0","0","0","1","0","0","0","0","0","7"
"4/7 01:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/7 02:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/7 03:00","0","0","0","0","0","1","0","0","0","0","0","0","0"
"4/7 04:00","0","0","0","0","0","0","0","0","0","0","0","0","6"
"4/7 05:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/7 06:00","0","0","0","1","0","0","0","0","0","0","0","1","21"
"4/7 07:00","0","0","0","0","0","0","0","0","0","0","10","0","34"
"4/7 08:00","3","3","0","0","0","0","0","0","0","0","1","0","40"
"4/7 09:00","0","0","0","0","0","0","0","0","0","0","0","1","22"
"4/7 10:00","0","0","0","0","0","0","0","0","0","0","0","0","39"
"4/7 11:00","0","0","0","0","0","0","0","0","0","0","0","0","47"
"4/7 12:00","0","0","0","0","0","0","0","0","0","0","0","0","53"
"4/7 13:00","0","0","0","0","0","0","0","0","0","0","3","0","43"
"4/7 14:00","0","0","0","0","0","0","0","0","0","0","0","0","38"
"4/7 15:00","0","0","0","0","0","1","0","0","0","0","0","0","52"
"4/7 16:00","0","0","0","0","0","0","1","0","0","0","1","1","46"
"4/7 17:00","0","0","0","0","0","1","0","0","0","0","1","0","45"
"4/7 18:00","0","0","0","0","0","0","0","0","1","0","0","0","64"
"4/7 19:00","0","0","0","0","0","0","0","0","0","0","0","0","38"
"4/7 20:00","0","0","0","0","0","0","0","0","0","0","0","0","34"
"4/7 21:00","0","0","0","0","0","0","0","0","0","0","0","0","12"
"4/7 22:00","0","0","0","0","0","0","0","0","0","0","0","0","5"
"4/7 23:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/8 00:00","0","0","0","0","0","0","0","0","0","0","0","0","7"
"4/8 01:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/8 02:00","0","0","0","0","0","0","0","0","0","0","0","0","5"
"4/8 03:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/8 04:00","0","0","0","0","0","0","0","0","0","0","0","0","8"
"4/8 05:00","0","0","0","0","0","0","0","0","0","0","0","0","9"
"4/8 06:00","0","0","0","0","0","0","0","0","0","0","0","0","14"
"4/8 07:00","0","0","0","0","0","1","0","0","1","0","0","0","75"
"4/8 08:00","0","1","0","0","0","2","0","0","0","0","1","0","45"
"4/8 09:00","6","1","0","2","2","4","0","0","1","0","0","1","62"
"4/8 10:00","0","0","0","0","6","3","0","0","0","0","0","4","18"
"4/8 11:00","1","0","0","0","3","3","0","0","1","0","0","0","24"
