"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/6 00:00","0","0","0","0","0","0","0","0","0","0","0","0","3"
"4/6 01:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/6 02:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/6 03:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 04:00","0","0","0","0","0","0","0","0","0","0","0","1","3"
"4/6 05:00","0","0","0","0","0","0","0","0","0","0","0","1","8"
"4/6 06:00","0","0","0","0","0","0","0","0","0","0","0","0","12"
"4/6 07:00","0","0","0","0","0","0","0","0","0","0","0","2","19"
"4/6 08:00","0","0","0","0","0","0","0","0","0","0","0","0","22"
"4/6 09:00","0","0","0","0","0","1","0","0","0","0","1","0","35"
"4/6 10:00","0","0","0","0","0","2","2","0","0","0","2","0","40"
"4/6 11:00","0","0","0","0","0","1","0","0","0","0","3","0","29"
"4/6 12:00","0","0","0","0","0","1","0","0","0","0","1","0","19"
"4/6 13:00","0","0","0","0","0","0","0","0","0","0","0","0","28"
"4/6 14:00","3","0","0","0","1","0","0","0","0","0","0","0","59"
"4/6 15:00","7","0","0","0","0","3","0","0","0","0","1","0","71"
"4/6 16:00","0","0","0","0","0","0","1","0","0","0","0","1","42"
"4/6 17:00","0","0","0","0","0","0","0","0","0","0","0","0","36"
"4/6 18:00","0","1","0","0","0","0","0","0","0","0","2","0","12"
"4/6 19:00","2","0","0","0","1","0","0","0","1","0","0","0","37"
"4/6 20:00","0","0","0","0","1","0","0","0","0","0","0","0","25"
"4/6 21:00","0","0","0","0","0","0","0","0","0","0","0","0","20"
"4/6 22:00","0","0","0","0","0","0","0","0","0","0","0","0","7"
"4/6 23:00","0","0","0","0","0","0","0","0","0","0","0","0","5"
"4/7 00:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/7 01:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/7 02:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 03:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 04:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
