"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/6 00:00","0","0","0","0","0","0","0","0","0","0","0","1","0"
"4/6 01:00","0","0","0","0","0","0","0","0","0","0","0","0","2"
"4/6 02:00","0","0","0","0","0","0","0","0","0","0","0","1","0"
"4/6 03:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/6 04:00","0","0","0","0","0","0","0","0","0","0","0","1","7"
"4/6 05:00","0","0","0","0","0","0","0","0","0","0","1","0","10"
"4/6 06:00","0","0","0","0","1","0","0","0","0","0","0","0","24"
"4/6 07:00","0","0","0","0","0","0","0","0","0","0","1","1","29"
"4/6 08:00","0","0","0","0","0","0","0","0","0","0","0","0","54"
"4/6 09:00","0","0","0","0","0","0","0","0","0","0","0","1","51"
"4/6 10:00","0","0","0","0","0","3","3","0","0","0","6","0","60"
"4/6 11:00","0","0","0","0","0","2","2","0","0","0","6","0","48"
"4/6 12:00","0","0","0","0","0","0","0","0","0","0","2","0","56"
"4/6 13:00","0","0","0","0","0","0","0","0","0","0","1","0","54"
"4/6 14:00","4","1","0","1","0","0","0","0","0","0","0","1","81"
"4/6 15:00","6","0","0","0","0","1","0","0","0","0","5","0","97"
"4/6 16:00","0","1","0","0","0","5","1","0","0","0","1","1","68"
"4/6 17:00","1","0","0","0","0","0","0","0","0","0","2","3","48"
"4/6 18:00","0","0","0","0","0","0","0","0","0","0","1","0","39"
"4/6 19:00","4","0","0","0","3","0","0","0","0","0","1","0","69"
"4/6 20:00","0","0","0","0","1","1","0","0","0","0","0","0","29"
"4/6 21:00","0","0","0","0","1","0","0","0","0","0","1","1","25"
"4/6 22:00","0","0","0","0","0","0","0","0","0","0","0","1","9"
"4/6 23:00","0","0","0","0","0","0","0","0","0","0","0","1","6"
"4/7 00:00","0","0","0","0","0","0","0","0","0","0","0","0","6"
"4/7 01:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 02:00","0","0","0","0","0","0","0","0","0","0","0","0","6"
"4/7 03:00","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4/7 04:00","0","0","0","0","0","0","0","0","0","0","0","1","5"
"4/7 05:00","0","0","0","0","0","0","1","1","0","0","1","0","12"
"4/7 06:00","0","0","0","0","0","0","0","0","0","0","0","0","33"
"4/7 07:00","0","0","0","0","0","0","0","0","0","0","3","0","31"
"4/7 08:00","1","0","0","0","0","0","0","0","0","0","0","0","68"
"4/7 09:00","0","0","0","0","0","0","0","0","0","0","0","0","26"
"4/7 10:00","0","0","0","0","0","0","0","0","0","0","0","0","31"
"4/7 11:00","0","0","0","0","0","0","0","0","0","0","0","0","57"
"4/7 12:00","0","0","0","0","0","0","0","0","1","0","3","0","59"
"4/7 13:00","0","0","0","0","0","0","0","0","0","0","4","0","57"
"4/7 14:00","0","0","0","0","0","0","1","0","0","0","1","0","43"
"4/7 15:00","0","0","0","0","0","0","0","0","0","0","0","0","48"
"4/7 16:00","0","0","0","0","0","0","0","0","0","0","1","1","49"
