"date","Earthquake","Ground","Flood","Aftershock","Fire","Water","Energy","Medical","Shelter","Transportation","Food","Rumble","Miscellaneous"
"4/6 07:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/6 11:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 13:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/6 14:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 15:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/6 17:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 07:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 09:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 10:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 13:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 14:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/7 17:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 18:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 19:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/7 21:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 07:00","0","0","0","0","0","0","0","0","1","0","0","0","0"
"4/8 08:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 09:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 13:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 14:00","0","0","0","0","0","0","0","0","0","0","0","0","5"
"4/8 15:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 18:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 22:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/8 23:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4/9 00:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/9 06:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/9 08:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/9 09:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/9 10:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/9 11:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/9 12:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/9 13:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/9 22:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/10 01:00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4/10 07:00","0","0","0","0","0","0","0","0","0","0","0","0","1"
